名称,osc 3.3v prog ttl tri st 25ppm,型号,cppt8-lz0rt,分类,可编程振荡器,生产厂家,cardinal components inc.,厂商地域,美国,质量等级,商业级,温度范围,0～70℃,	工作电压,3.3V	,	output,ttl	,	type,xo (standard)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),25ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.551 l x 0.341 w (14.00mm x 8.65mm)	,	available frequency range,500khz ~ 133mhz,封装形式,soj(4),频率稳定度,±25ppm
名称,osc 5.0v prog ttl tri st 25ppm,型号,cppt8-hz5rt,分类,可编程振荡器,生产厂家,cardinal components inc.,厂商地域,美国,温度范围,-20～70℃,	工作电压,5V	,	output,ttl	,	type,xo (standard)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),45ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.551 l x 0.341 w (14.00mm x 8.65mm)	,	height,0.185 (4.70mm)	,	available frequency range,500khz ~ 133mhz,封装形式,soj(4),频率稳定度,±25ppm
名称,osc prog lvcmos 1.8v 10ppm smd,型号,sit3809ai-g-18ny,分类,可编程振荡器,生产厂家,sitime,厂商地域,美国,质量等级,工业级,封装形式,smd(4),温度范围,-40～85℃,output,lvcmos。 lvttl	,	type,mems vcxo	,	series,sit3809	,	mounting type,surface mount	,	voltage - supply,1.8v	,	current - supply (max),33ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.106 l x 0.094 w (2.70mm x 2.40mm)	,	height,0.031 (0.79mm)	,	part status,active
名称,osc prog lvcmos 3.3v en/ds 10ppm,型号,sit3809ac-c-33ez,分类,可编程振荡器,生产厂家,sitime,厂商地域,美国,温度范围,-20～70℃,output,lvcmos。 lvttl	,	type,mems vcxo	,	function,enable/disable	,	series,sit3809	,	mounting type,surface mount	,	voltage - supply,3.3v	,	current - supply (max),36ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.197 l x 0.126 w (5.00mm x 3.20mm)	,	height,0.031 (0.79mm)	,	part status,active,封装形式,smd(6)
名称,osc prog lvpecl 3.3v en/ds 50ppm,型号,sit9002ai-03n33ex,分类,可编程振荡器,生产厂家,sitime,厂商地域,美国,质量等级,工业级,封装形式,smd(6),温度范围,-40～85℃,output,lvpecl	,	type,mems (silicon)	,	function,enable/disable	,	series,sit9002	,	mounting type,surface mount	,	voltage - supply,3.3v	,	current - supply (max),84ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.197 l x 0.126 w (5.00mm x 3.20mm)	,	part status,active
名称,osc prog cml 1.8v 25ppm smd,型号,sit9002ac-38h18db,分类,可编程振荡器,生产厂家,sitime,厂商地域,美国,封装形式,smd(6),温度范围,-20～70℃,output,cml	,	type,mems (silicon)	,	series,sit9002	,	mounting type,surface mount	,	voltage - supply,1.8v	,	current - supply (max),51ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.276 l x 0.197 w (7.00mm x 5.00mm)	,	height,0.039 (1.00mm)	,	available frequency range,1mhz ~ 220mhz	,	part status,active
名称,osc prog cml 1.8v stby 50ppm smd,型号,sit9002ai-38h18sb,分类,可编程振荡器,生产厂家,sitime,厂商地域,美国,质量等级,工业级,封装形式,smd(6),温度范围,-40～85℃,output,cml	,	type,mems (silicon)	,	function,standby	,	series,sit9002	,	mounting type,surface mount	,	voltage - supply,1.8v	,	current - supply (max),51ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.276 l x 0.197 w (7.00mm x 5.00mm)	,	part status,active
名称,osc xo 156.25mhz 3.3v smt,型号,570mac000118dg,分类,可编程振荡器,生产厂家,silabs,厂商地域,美国,质量等级,工业级,温度范围,-40～85℃,	工作电压,3.3V	,	output,lvpecl	,	type,xo (standard)	,	function,enable/disable	,	current - supply (max),130ma	,	programmable type,blank (user must program)	,	available frequency range,10mhz ~ 280mhz	,	frequency stability (total),±20ppm	,	available frequency range,10mhz ~ 280mhz	,	frequency stability (total),±20ppm,频率稳定度,±7ppm
名称,osc mems prog 5.0x3.2mm 3.3v,型号,sit8209ac-3-33e,分类,可编程振荡器,生产厂家,sitime,厂商地域,美国,封装形式,smd(4),温度范围,-20～70℃,	工作电压,3.3V	,	output,lvcmos; lvttl	,	type,mems (silicon)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),36ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.197 l x 0.126 w (5.00mm x 3.20mm)	,	available frequency range,80.000001mhz ~ 220mhz,封装尺寸,"dfn,lcc",频率稳定度,±20ppm; ±25ppm; ±50ppm
名称,osc mems prog 7.0x5.0mm 2.5v,型号,sit8209ac-8-25e,分类,可编程振荡器,生产厂家,sitime,厂商地域,美国,封装形式,smd(4),温度范围,-20～70℃,	工作电压,2.5V	,	output,lvcmos; lvttl	,	type,mems (silicon)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),36ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.276 l x 0.197 w (7.00mm x 5.00mm)	,	available frequency range,80.000001mhz ~ 220mhz,封装尺寸,"dfn,lcc",频率稳定度,±20ppm; ±25ppm; ±50ppm
名称,osc mems prog 7.0x5.0mm 2.5v,型号,sit8209ac-8-25s,分类,可编程振荡器,生产厂家,sitime,厂商地域,美国,封装形式,smd(4),温度范围,-20～70℃,	工作电压,2.5V	,	output,lvcmos; lvttl	,	type,mems (silicon)	,	function,standby	,	mounting type,surface mount	,	current - supply (max),36ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.276 l x 0.197 w (7.00mm x 5.00mm)	,	available frequency range,80.000001mhz ~ 220mhz,封装尺寸,"dfn,lcc",频率稳定度,±20ppm; ±25ppm; ±50ppm
名称,osc mems prog 7.0x5.0mm 2.8v,型号,sit8209ac-8-28e,分类,可编程振荡器,生产厂家,sitime,厂商地域,美国,封装形式,smd(4),温度范围,-20～70℃,	工作电压,2.8V	,	output,lvcmos; lvttl	,	type,mems (silicon)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),36ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.276 l x 0.197 w (7.00mm x 5.00mm)	,	available frequency range,80.000001mhz ~ 220mhz,封装尺寸,"dfn,lcc",频率稳定度,±20ppm; ±25ppm; ±50ppm
名称,osc mems prog 7.0x5.0mm 3.3v,型号,sit8209ac-8-33s,分类,可编程振荡器,生产厂家,sitime,厂商地域,美国,封装形式,smd(4),温度范围,-20～70℃,	工作电压,3.3V	,	output,lvcmos; lvttl	,	type,mems (silicon)	,	function,standby	,	mounting type,surface mount	,	current - supply (max),36ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.276 l x 0.197 w (7.00mm x 5.00mm)	,	available frequency range,80.000001mhz ~ 220mhz,封装尺寸,"dfn,lcc",频率稳定度,±20ppm; ±25ppm; ±50ppm
名称,osc mems prog 5.0x3.2mm 1.8v,型号,sit8209ai-3-18e,分类,可编程振荡器,生产厂家,sitime,厂商地域,美国,质量等级,工业级,温度范围,-40～85℃,	工作电压,1.8V	,	output,lvcmos; lvttl	,	type,mems (silicon)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),33ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	available frequency range,80.000001mhz ~ 220mhz,封装形式,smd(4),封装尺寸,"dfn,lcc",频率稳定度,±20ppm; ±25ppm; ±50ppm
